xObs,xMean,xMedian,xRMS,xSigma
-100.0,-3.637978807091713e-12,1.1258105902656443e-09,3.1521492309515205e-09,0.0
-99.99,6.504083599823737e-07,1.1280327293738843e-09,3.158151983496519e-09,1.967535016115466e-06
-99.97999999999999,1.301970702533321e-06,1.1302592545682467e-09,3.1641661673017033e-09,3.938508648966034e-06
-99.96999999999998,1.9546833896727338e-06,1.1324901745060513e-09,3.170191804136038e-09,5.912920898547801e-06
-99.95999999999998,2.6085464214016963e-06,1.13472549786169e-09,3.1762289158099423e-09,7.890771764864236e-06
-99.94999999999997,3.263559797719341e-06,1.1369652333266922e-09,3.1822775241753724e-09,9.872061247912737e-06
-99.93999999999997,3.919723518626102e-06,1.139209389609727e-09,3.1883376511258952e-09,1.1856789347695906e-05
-99.92999999999996,4.577037584121762e-06,1.1414579754366687e-09,3.1944093185967714e-09,1.3844956064211576e-05
-99.91999999999996,5.235501994206972e-06,1.1437109995506026e-09,3.200492548565035e-09,1.583656139746148e-05
-99.90999999999995,5.895116748880647e-06,1.1459684707118714e-09,3.20658736304957e-09,1.783160534744345e-05
-99.89999999999995,6.555881848143872e-06,1.148230397698121e-09,3.212693784111191e-09,1.9830087914160088e-05
-99.88999999999994,7.21779729199578e-06,1.1504967893043069e-09,3.218811833852727e-09,2.183200909760836e-05
-99.87999999999994,7.880863080437237e-06,1.1527676543427599e-09,3.224941534419095e-09,2.383736889779173e-05
-99.86999999999993,8.54507921346716e-06,1.155043001643189e-09,3.2310829079973857e-09,2.5846167314706736e-05
-99.85999999999993,9.210445691086632e-06,1.1573228400527474e-09,3.2372359768169397e-09,2.7858404348356843e-05
-99.84999999999992,9.87696251329457e-06,1.1596071784360343e-09,3.243400763149431e-09,2.9874079998738583e-05
-99.83999999999992,1.0544629680092274e-05,1.161896025675163e-09,3.249577289308945e-09,3.189319426585499e-05
-99.82999999999991,1.1213447191478227e-05,1.1641893906697616e-09,3.255765577652063e-09,3.3915747149703464e-05
-99.81999999999991,1.1883415047453947e-05,1.1664872823370407e-09,3.261965650577939e-09,3.594173865028661e-05
-99.8099999999999,1.2554533248018349e-05,1.1687897096117955e-09,3.2681775305283816e-09,3.797116876760095e-05
-99.7999999999999,1.3226801793171867e-05,1.1710966814464737e-09,3.274401239987937e-09,4.0004037501650824e-05
-99.78999999999989,1.3900220682914284e-05,1.173408206811176e-09,3.2806368014839725e-09,4.20403448524332e-05
-99.77999999999989,1.4574789917246467e-05,1.175724294693726e-09,3.2868842375867498e-09,4.408009081994981e-05
-99.76999999999988,1.52505094961669e-05,1.1780449540996702e-09,3.293143570909516e-09,4.612327540419762e-05
-99.75999999999988,1.5927379419676882e-05,1.1803701940523472e-09,3.2994148241085795e-09,4.816989860518097e-05
-99.74999999999987,1.660539968777533e-05,1.182700023592894e-09,3.305698019883395e-09,5.021996042289551e-05
-99.73999999999987,1.728457030046376e-05,1.1850344517802924e-09,3.3119931809766434e-09,5.2273460857346025e-05
-99.72999999999986,1.7964891257740007e-05,1.1873734876914177e-09,3.3183003301743164e-09,5.4330399908527303e-05
-99.71999999999986,1.8646362559606453e-05,1.1897171404210446e-09,3.3246194903057976e-09,5.6390777576443684e-05
-99.70999999999985,1.9328984206061365e-05,1.192065419081916e-09,3.3309506842439454e-09,5.845459386109213e-05
-99.69999999999985,2.001275619710561e-05,1.1944183328047448e-09,3.3372939349051753e-09,6.052184876247481e-05
-99.68999999999984,2.0697678532738536e-05,1.1967758907382829e-09,3.3436492652495443e-09,6.259254228058913e-05
